week,ret_1w,ret_1w_fwd,extreme_down,extreme_up,cand_down,rwdv_63,semidev_63,sd_63,arkf_ret_4w,qqq_ret_4w
2021-07-30,0.18134067609519477,0.09530578594886352,0,0,0,0.6434322515235362,0.47130960634556734,0.6792177927173927,-0.05209213667714607,0.027812841506905883
2021-08-06,0.09530578594886352,0.1137737175976874,0,1,0,0.37324091223400624,0.4529232856835347,0.6599960445157919,-0.009685718684465883,0.019313137722121176
2021-08-13,0.1137737175976874,0.023067094586111003,0,0,0,0.3430800677889037,0.4221646021277371,0.646407436703524,0.027574542408653535,0.030893650869033173
2021-08-20,0.023067094586111003,-0.010195486110479601,0,0,0,0.321512339939314,0.38655768226567083,0.6149054509146129,-0.05042760038219596,-0.001277560860885707
2021-08-27,-0.010195486110479601,0.1134206911826886,0,0,0,0.3236109997338926,0.29580996084062233,0.5402772289798008,0.05695015065289466,0.030977007041707694
2021-09-03,0.1134206911826886,-0.12945354155565814,1,0,1,0.20627120559162762,0.26906875940383285,0.5020011821656096,0.04897179914231753,0.0360753636375879
2021-09-10,-0.12945354155565814,0.04445243632404883,0,0,0,0.19954308801525095,0.35251771267463633,0.5497090991440189,0.0,0.02435223204300474
2021-09-17,0.04445243632404883,-0.12813112189202602,0,0,1,0.3181397098947007,0.3405998997463634,0.5463625205158432,0.05046675509764942,0.026757369701915223
2021-09-24,-0.12813112189202602,0.08316480029550666,0,0,0,0.28127566607916443,0.4281498992628953,0.604854230384844,-0.0080413044014076,0.003548503272813086
2021-10-01,0.08316480029550666,0.13539006041318646,0,1,0,0.35022338170059836,0.44087894744632566,0.6202012568076231,-0.08893463654982092,-0.053511539979943734
2021-10-08,0.13539006041318646,0.08327018209950099,0,0,0,0.36450946810777357,0.4354524145853965,0.6145712233000732,-0.03943403666566869,-0.04072791346151394
2021-10-15,0.08327018209950099,0.03234265026939709,0,0,0,0.36350914021392516,0.4319001719160892,0.600343700161704,0.002268875366169709,-0.012059163530858008
2021-10-22,0.03234265026939709,0.04631659736683291,0,0,0,0.36367315732841676,0.432151507934523,0.5976722779480764,0.019983483297440596,0.0020604068734950687
2021-10-29,0.04631659736683291,0.01097047469984691,0,0,0,0.360733977056021,0.43236771828204107,0.6046259581777748,0.0700101584760251,0.06951855142440522
2021-11-05,0.01097047469984691,0.03730256200756865,0,0,0,0.3594562529604616,0.43361701588239165,0.5948053790389359,0.05249125117066189,0.09863740377072716
2021-11-12,0.03730256200756865,-0.10684898981549229,1,0,1,0.3599716966803124,0.34216169604488406,0.5363177924350518,-0.0034052463970284386,0.06749218777278188
2021-11-19,-0.10684898981549229,-0.02038618208283749,0,0,0,0.25697429586271536,0.37019436633306957,0.5477305118377048,-0.05241454244907162,0.0768670449429889
2021-11-26,-0.02038618208283749,0.00944958977470245,0,0,0,0.28081241668723467,0.2770076812570886,0.4735358875761587,-0.1178532193910784,0.018003451838103146
2021-12-03,0.00944958977470245,-0.10016193563978626,0,0,1,0.2033493308438408,0.28200351699044524,0.4472960809680331,-0.25365257241971584,-0.03863026506450584
2021-12-10,-0.10016193563978626,-0.0347314392730218,0,0,0,0.18607930129559555,0.38720610591809246,0.5100523960321041,-0.19569220029450474,0.018818587373300666
2021-12-17,-0.0347314392730218,0.07188980050878269,0,0,0,0.2541506456931556,0.41657895738548373,0.5239372232477696,-0.22774266393194864,-0.042820488718255945
2021-12-24,0.07188980050878269,-0.08925255940427723,0,0,0,0.2934939784509055,0.4087529302473247,0.5131797076075055,-0.14128013547182228,-0.00334859214395955
2021-12-31,-0.08925255940427723,-0.12266987746220559,1,0,1,0.298418185393586,0.4303315863851423,0.5125467147757699,-0.07700637394784238,0.021435614679207404
2022-01-07,-0.12266987746220559,0.016185509094368444,0,0,0,0.31794823555097096,0.46540054292045396,0.5290947118286216,-0.17258589961772364,-0.03458620571711979
2022-01-14,0.016185509094368444,-0.16115611830412424,0,0,1,0.33315261487548964,0.4681581161512876,0.527929079831508,-0.13095808077917948,-0.016537145234367223
2022-01-21,-0.16115611830412424,-0.04594851191128457,0,0,0,0.37251164075004145,0.5270113105098606,0.5785102580858976,-0.28461389459194475,-0.11347401580716099
2022-01-28,-0.04594851191128457,0.10856330849036655,0,0,0,0.35306115065982263,0.5518900996345762,0.6018719533566863,-0.32260079646884865,-0.12927632962317404
2022-02-04,0.10856330849036655,0.05017337574857972,0,0,0,0.4590479620226942,0.5439774054888067,0.6301209318192311,-0.16411862514388798,-0.07013358027924976
2022-02-11,0.05017337574857972,-0.057419922894527575,0,0,0,0.45587973209323746,0.4858776972140635,0.591712593095097,-0.10891664337409779,-0.0844966889892591
2022-02-18,-0.057419922894527575,-0.03449073241153555,0,0,0,0.42275155197988135,0.4889081513871173,0.5968462676167441,-0.06701388892432503,-0.029372822056197734
2022-02-25,-0.03449073241153555,0.006854475432181761,0,0,0,0.4023183057590816,0.5034899052680328,0.6136705448425439,0.026778159988655847,0.013597871786151572
2022-03-04,0.006854475432181761,-0.03126694218209325,0,0,0,0.43705095459944276,0.516865475812661,0.6630769673271222,-0.1284183558081442,-0.04705216677247748
2022-03-11,-0.03126694218209325,0.08619395218026793,0,0,0,0.4217993623347911,0.4949972502055413,0.6615290933479536,-0.29809184954414114,-0.09975593937848348
2022-03-18,0.08619395218026793,0.0719169933097682,0,0,0,0.44691947195746956,0.48998240769520074,0.6608666222333198,-0.017735058027751105,0.017333244703688244
2022-03-25,0.0719169933097682,0.05481207663731491,0,0,0,0.4182333587517958,0.3971792565195282,0.6014169121682881,-0.02712614774204214,0.03975878704351121
2022-04-01,0.05481207663731491,-0.05724720898385005,0,0,0,0.4131687712479329,0.3371361325918509,0.5601890715622677,0.12026054249874862,0.07149253669070887
