week,n_articles,finbert_linear,finbert_exp_hl7,vader_linear,vader_exp_hl7
2021-07-09,10,0.28748022895306347,0.25271082220526025,0.22104,0.21475970796479088
2021-07-16,11,-0.05134105275977741,-0.009145122090941886,0.07974545454545455,0.12333018210963274
2021-07-23,7,-0.0033069907554558347,-0.04341663925629249,0.03144285714285714,0.02737462220540037
2021-07-30,3,0.046675274769465126,0.10374568539196839,0.1953,0.14197905568695504
2021-08-06,10,0.3477617003023624,0.32839058060190424,0.08262,0.09251368230590253
2021-08-13,8,0.5812360458076,0.5510587102910657,0.0683,0.05695805049908841
2021-08-20,5,-0.11699041202664376,-0.08157384909067797,0.04526,0.04667086260951736
2021-08-27,2,0.5092893429100513,0.5504291235443258,0.31845,0.34988058540864136
2021-09-03,17,0.14097179921672626,0.14693985637088025,0.14801176470588234,0.140003217993765
2021-09-10,6,0.0249449098482728,0.056353137639148905,0.055900000000000005,0.06907589253871449
2021-09-17,8,-0.09449941175989807,-0.08932471230318535,0.15090000000000003,0.16472933034859438
2021-09-24,2,-0.6242694556713104,-0.6299318129441386,0.0,0.0
2021-10-01,8,-0.04402896203100681,-0.07677987132130402,0.0677875,0.05235056484957735
2021-10-08,9,-0.26252103514141506,-0.25392203448579753,0.07773333333333333,0.07842185498689064
2021-10-15,5,0.2996574968099594,0.2797444293475819,0.5504800000000001,0.5642954761884357
2021-10-22,4,0.030336810275912285,0.06416152980783006,0.119175,0.09437906751952749
2021-10-29,12,0.029798348279048998,0.048097450664117976,0.021466666666666676,0.0037904836960334933
2021-11-05,12,0.32223510773231584,0.3240358023297904,0.10890833333333334,0.12144707016997121
2021-11-12,5,-0.1573423206806183,-0.09718550307939113,-0.05206000000000001,-0.041704970660327904
2021-11-19,5,-0.0502641636878252,-0.0819402064843098,-0.021899999999999996,-0.036507924706904345
2021-11-26,11,-0.0752200594341213,-0.06333281789838294,0.14156363636363636,0.1381136008144763
2021-12-03,8,0.11150771635584533,0.11360287130101704,0.1574625,0.16787701263148364
2021-12-10,2,0.4290299639105797,0.4290299639105797,0.6769000000000001,0.6769000000000001
2021-12-17,9,0.22349469881090853,0.1907333924254909,0.16385555555555553,0.20604041870816872
2021-12-24,9,-0.07767016130189101,-0.0484545642842678,0.20727777777777778,0.22941471975906616
2021-12-31,7,-0.055314838354076655,-0.0791334536611573,-0.08299999999999999,-0.09602804506211726
2022-01-07,11,0.08742199245501649,0.06632584156729514,0.002581818181818175,-0.029263977442022963
2022-01-14,6,-0.5448395311832428,-0.5858059563055261,-0.01961666666666666,-0.007533198894246089
2022-01-21,7,-0.19571475897516524,-0.20203369092942422,0.05278571428571428,0.02488258945681398
2022-01-28,5,-0.3141930438578129,-0.2789250585649815,0.014360000000000006,0.0657734454468579
2022-02-04,9,-0.21962995909982258,-0.2094450445794709,0.03274444444444444,0.04440347802874159
2022-02-11,9,0.07021738485329682,0.09368158645425471,0.10566666666666667,0.12156668614781743
2022-02-18,4,-0.03013872681185603,0.016447344970028976,0.360575,0.3561176993586056
2022-02-25,14,-0.12248763096119676,-0.11193660594318436,-0.16255714285714287,-0.12180865549808943
2022-03-04,14,-0.034047694610697884,-0.02221982251188806,-0.03665000000000001,-0.019788669960462073
2022-03-11,5,-0.4119490832090378,-0.41299154514340264,0.04046,0.048250352665925755
2022-03-18,9,-0.058825239125225276,-0.042088586801820246,-0.011966666666666662,-0.012809266421753488
2022-03-25,7,0.005311321999345507,-0.009378547621255073,0.014857142857142855,-0.012665832188349133
2022-04-01,5,0.39743396677076814,0.4063951519139308,0.04046,0.03220371371761582
2022-04-15,5,-0.13093017861247064,-0.1654621838402148,0.0,0.0
2022-04-22,18,0.08697481587943104,0.10874142649786799,-0.042972222222222224,-0.03154547321854523
2022-04-29,15,-0.016341781119505565,0.012908245435580735,0.10805999999999999,0.1097363789891956
2022-05-06,9,0.043324643125136696,-0.01888975517810131,0.09584444444444445,0.10257389488345987
2022-05-13,5,-0.516472177952528,-0.4600334687191172,-0.31062,-0.27350056338818385
2022-05-20,4,0.015900149941444397,0.0372728925539272,-0.14897499999999997,-0.15521212034640183
2022-05-27,10,-0.18327810615301132,-0.23141034594854837,0.0013000000000000012,-0.009154298871010658
2022-06-03,13,0.08316815042724976,0.10665438739709428,0.2071230769230769,0.20881843512943762
